,Canonical_smiles,Murcko,ClassC,No
1913,Cl.Clc1ccc(cc1)C(=O)N2CCN(C(=O)C2)c3ccc(OC4CCN(CC4)C5CCC5)cc3,O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCC4)CC3)cc2)C(=O)C1,0,2444
1009,COc1ccccc1Oc2ccccc2CN3CCC4(CC3)CCN(CC4)C(=O)c5ccncc5,O=C(c1ccncc1)N1CCC2(CCN(Cc3ccccc3Oc3ccccc3)CC2)CC1,1,3234
5899,[O-][N+](=O)c1cccc(CNc2cc(cc3ncc(cc23)N4CCN(CC4)C(=O)\C=C\[C@@H]5CCCN5)C(F)(F)F)c1,O=C(C=CC1CCCN1)N1CCN(c2cnc3cccc(NCc4ccccc4)c3c2)CC1,0,3294
662,COc1ccc2C(=O)N(CCO)C(=C(c3cccc(F)c3)c2c1)C#N,O=c1[nH]cc(-c2ccccc2)c2ccccc12,0,6022
3251,COc1ccc(cc1)[C@H]2CN(CCc3ccc(OC)c(OC)c3)C[C@@H]2CCNC(=O)c4cccc(Cl)c4,O=C(NCCC1CN(CCc2ccccc2)CC1c1ccccc1)c1ccccc1,1,6456
8066,CCCCc1cc(OC2CCN(CCCS(=O)(=O)C(C)(C)C)CC2)c3ncccc3c1,c1cnc2c(OC3CCNCC3)cccc2c1,1,3844
1697,CC(C)NCc1nn(c(c1C)c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl,c1ccc(-c2ccnn2-c2ccccc2)cc1,1,1414
1977,O=C(N1CCOCC1)c2ccc(cc2)C3=CC4(CCNCC4)Oc5ccccc35,O=C(c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1)N1CCOCC1,0,2564
5874,CCn1ccc(NC(=O)c2cc(O[C@@H](C)CO)cc(Oc3ccc(cc3)C(=O)N4CCC4)c2)n1,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(C(=O)N3CCC3)cc2)c1,0,5186
7125,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(cc4)C(F)(F)F)nnc1C5CCCCC5,c1ccc(N2CCC3CN(CCCSc4nnc(C5CCCCC5)[nH]4)CC32)cc1,1,4208
109,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,c1ccccc1,0,2785
6279,CCS(=O)(=O)c1cc2cc(C[C@](O)(CC(C)(C)c3ccc(F)cc3C(=O)N)C(F)(F)F)[nH]c2cn1,c1ccc(CCCCc2cc3ccncc3[nH]2)cc1,0,991
6033,Cn1cc2c(Nc3nc(N[C@@H]4CCOC[C@@H]4N)cc5C=CNC(=O)c35)cccc2n1,O=c1[nH]ccc2cc(NC3CCOCC3)nc(Nc3cccc4n[nH]cc34)c12,0,5462
2008,O=C(NC1CC1c2ccccc2)N3CCC(CC3)c4onc(n4)c5ccccn5,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccccn3)no2)CC1,0,6883
6893,CN1CCCC1\C=C\c2nc3cc(C)c(C)cc3n2Cc4ccc(Cl)cc4,C(=CC1CCCN1)c1nc2ccccc2n1Cc1ccccc1,1,6475
2885,Cc1cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)cc(c1)C(=O)N,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,761
7548,Fc1ccc2[nH]cc(CN3CC4CN(CCNS(=O)(=O)c5ccc(cc5)C#N)CC(C3)O4)c2c1,O=S(=O)(NCCN1CC2CN(Cc3c[nH]c4ccccc34)CC(C1)O2)c1ccccc1,0,2701
5747,COC1COCCC1N[C@@H]2C[C@H]3CN(C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F)C6COC6,O=C(N1CCc2ncccc2C1)C12CC(NC3CCOCC3)CC1CN(C1COC1)C2,0,2637
4295,Fc1ccc(cc1)C(CCCCC(=O)N2CCC(CNC(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C2)c4ccc(F)cc4,O=C(NCC1CCN(C(=O)CCCCC(c2ccccc2)c2ccccc2)C1)c1ccccc1,1,4606
1020,O=C(N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1)c5ccncc5,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,1,8246
7518,CN(CCN1CC2CN(CCOc3ccc(cc3F)C#N)CC(C1)O2)S(=O)(=O)c4ccc5OCCc5c4,O=S(=O)(NCCN1CC2CN(CCOc3ccccc3)CC(C1)O2)c1ccc2c(c1)CCO2,0,3956
1742,CNCc1ccc(OC)cc1Oc2ccc(Cl)c(Cl)c2,c1ccc(Oc2ccccc2)cc1,1,2651
6522,COC[C@@H]1C[C@@H](CC[C@@H]1NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)N(C)C(C)C,O=C(CNC(=O)c1ccccc1)NC1CCCCC1,0,2910
374,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,c1ccc2[nH]cnc2c1,0,5385
213,CNC1(CCCCC1=O)c2ccccc2Cl,O=C1CCCCC1c1ccccc1,0,3272
2496,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cc(C)nc(n4)c5ccccc5,c1ccc(-c2nccc(-c3ccc4cc(CCN5CCCC5)ccc4n3)n2)cc1,1,5735
2627,Clc1cc(Cl)cc(CNC(=O)N(C2CCN(CC2)C3CCCC3)c4ccc(Br)cc4)c1,O=C(NCc1ccccc1)N(c1ccccc1)C1CCN(C2CCCC2)CC1,1,6537
7995,Fc1cc(Cl)ccc1CN2C(=O)n3ncnc3c4c5CCN(CC6CCOCC6)Cc5sc24,O=c1n(Cc2ccccc2)c2sc3c(c2c2ncnn12)CCN(CC1CCOCC1)C3,1,6466
1263,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5nc6cc(ccn6c5CC4)C(F)(F)F)n3C,c1cc(-c2nnc(SCCCN3CCc4nc5ccccn5c4CC3)[nH]2)c2cccnc2c1,1,696
3380,COC(=O)c1cccc(c1)C(=O)N2CCC(CCN3C4CCC3CC(C4)n5c(C)nc6ccccc56)(CC2)c7ccccc7,O=C(c1ccccc1)N1CCC(CCN2C3CCC2CC(n2cnc4ccccc42)C3)(c2ccccc2)CC1,1,1098
3650,N(c1ccccn1)c2nc(cs2)c3cn[nH]c3,c1ccc(Nc2nc(-c3cn[nH]c3)cs2)nc1,0,4135
3770,COC(=O)C1(CNC(=O)c2cc(Cl)cc(Cl)c2)CCN(Cc3ccc(cc3)C(F)(F)F)CC1,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1,1,1477
713,CN(C)C(=N)c1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3,O=C(Nc1ccccc1C(=O)Nc1ccccn1)c1ccccc1,1,6843
6027,Cl.C(Oc1cccnc1)[C@H]2CNCCN2c3oc4cccnc4n3,c1cncc(OCC2CNCCN2c2nc3ncccc3o2)c1,0,29
6109,COc1cnc2c(cn(Cc3ncnc(N(C)C)c3C)c2c1)C(=O)NCCO,c1cnc2ccn(Cc3ccncn3)c2c1,0,4572
1129,CC(C)N1CCN(CC1)C(=O)N2CCC(=CC2)c3ccccc3,O=C(N1CC=C(c2ccccc2)CC1)N1CCNCC1,0,8124
6105,COc1ncnc(Cn2cc(C(=O)NCC(F)F)c3ncc(C)cc23)c1C,c1cnc2ccn(Cc3ccncn3)c2c1,0,4878
5097,COC1COCCC1N[C@@H]2C[C@H]3C[C@H](C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F)C(F)(F)F,O=C(N1CCc2ncccc2C1)C12CCCC1CC(NC1CCOCC1)C2,0,3033
5436,COc1ccc(cc1)C2(CCC(=N2)N)c3cccc(c3)c4cncnc4,C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)CC1,0,2020
6461,COc1cc(OC)c2nccc(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,5453
1132,COc1nc2ccc(Br)cc2cc1[C@@H](c3ccccc3)[C@@](O)(CCN(C)C)c4cccc5ccccc45,c1ccc(C(Cc2cccc3ccccc23)c2cnc3ccccc3c2)cc1,1,664
2537,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc5ncnn5c4C,c1nc2sc(-c3ccc4cc(CCN5CCCC5)ccc4n3)cn2n1,1,7281
2511,Fc1ccccc1C(Cc2ccccc2OC(F)(F)F)N3CCNCC3,c1ccc(CC(c2ccccc2)N2CCNCC2)cc1,1,263
4002,CC(C)N1CCC[C@H](CN2C(=Nc3ccc(Oc4ccc(F)c5cccnc45)nc3C2=O)C)C1,O=c1c2nc(Oc3cccc4cccnc34)ccc2ncn1CC1CCCNC1,1,2950
6452,Fc1cnc2cc(cnc2c1CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)C(F)(F)F,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,513
5802,O=C(C1CC12CCNCC2)N3CCN(CC3)C4CCCCC4,O=C(C1CC12CCNCC2)N1CCN(C2CCCCC2)CC1,0,5068
7505,Cn1cnc(c1)S(=O)(=O)NCCN2CC3CN(CCCOc4ccc(cc4)C#N)CC(C2)O3,O=S(=O)(NCCN1CC2CN(CCCOc3ccccc3)CC(C1)O2)c1c[nH]cn1,0,47
6098,Cn1ncc(C(=O)N2CCC(CC2)NC3=CC(=O)Nc4ccc(F)cc34)c1Cl,O=C(c1cn[nH]c1)N1CCC(Nc2cc(=O)[nH]c3ccccc23)CC1,0,1854
819,Cc1onc(c1)c2ccc3CCN(CCCSc4nnc(c5ccc6nc(C)c(C)nc6c5)n4C)CCc3c2,c1cnc2cc(-c3nnc(SCCCN4CCc5ccc(-c6ccon6)cc5CC4)[nH]3)ccc2n1,1,3041
5542,C[C@]1(CS(=O)(=O)N2CCN(CC2)c3ncc(OCc4oc(cc4)C(F)(F)F)cn3)NC(=O)NC1=O,O=C1NC(=O)C(CS(=O)(=O)N2CCN(c3ncc(OCc4ccco4)cn3)CC2)N1,0,1000
3635,Oc1cnccc1[C@@H]2CC[C@H](CC2)N3CC(C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F,O=C(CNC(=O)c1ccccc1)NC1CN(C2CCC(c3ccncc3)CC2)C1,0,4997
7245,CC(N1C(C(=O)NCc2ccccc2)c3ccccc3C1=O)c4ccccc4,O=C(NCc1ccccc1)C1c2ccccc2C(=O)N1Cc1ccccc1,0,1804
166,CC(C)(C)c1cc(SC(C)(C)Sc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,c1ccc(SCSc2ccccc2)cc1,0,4081
4895,COCc1ccc(CCN2CCC(COc3nc4ccccc4c5cn(C)cc35)CC2)cc1,c1ccc(CCN2CCC(COc3nc4ccccc4c4c[nH]cc34)CC2)cc1,1,4389
4698,OC(=O)[C@H](Cc1ccc(F)cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)cc4Cl)CC2,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,0,8187
2057,OC[C@@H](NC(=O)NC1CCN(Cc2ccn(c2)c3ccc(cc3)C(F)(F)F)CC1)c4ccccc4,O=C(NCc1ccccc1)NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1,0,4149
8137,Cc1nnc2sc(C(=O)NCc3ccc(cc3)c4cccnc4F)c(N)c2c1C,O=C(NCc1ccc(-c2cccnc2)cc1)c1cc2ccnnc2s1,0,2140
441,C[S+]([O-])c1ccc(\C=C/2\C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1,C1=Cc2ccccc2C1=Cc1ccccc1,0,6014
6093,F[C@@H]1CN(CCN2C(=O)C=Cc3ncc(F)cc23)CC[C@@H]1NCc4ccc5OCC(=O)Nc5n4,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncccc54)CC3)nc2N1,0,2359
1395,Clc1ccc(cc1)N2C=C(C(=O)Nc3c(Cl)cncc3Cl)C(=O)c4cccnc24,O=C(Nc1ccncc1)c1cn(-c2ccccc2)c2ncccc2c1=O,1,3064
1701,CCN(CC)C(=O)c1ccc(cc1)C2=CC3(CCN(C)CC3)Oc4ccccc24,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,1,4554
86,CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,C(=Cc1ccccc1)c1ccccc1,0,5336
7929,Cl.CC1(C)Cc2c(C(=O)N)c(NC(=O)Nc3ccc(Cl)cc3)sc2C(C)(C)N1,O=C(Nc1ccccc1)Nc1cc2c(s1)CNCC2,0,1729
3845,COc1ccc(cc1)N(Cc2cnccc2C)C3CCN(CC3)[C@H](C)CCNC(=O)c4c(C)cc(Cl)nc4C,O=C(NCCCN1CCC(N(Cc2cccnc2)c2ccccc2)CC1)c1cccnc1,1,3605
4799,COc1ccc2N=CC(=O)N(CCN3CC[C@@H](NCc4cc5OCCOc5cn4)[C@H](O)C3)c2c1,O=c1cnc2ccccc2n1CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,0,7006
5366,CNC(=O)c1cc(ccc1OC(F)F)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1,0,2726
5753,COC1COCCC1N[C@@H]2C[C@H]3CN(C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F)C(=O)\C=C\C(C)(C)C,O=C(N1CCc2ncccc2C1)C12CNCC1CC(NC1CCOCC1)C2,0,6138
621,Clc1cc2OC(=CC(=O)c2cc1Cl)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,1,3993
183,CN1CCN(CC1)C(c2ccccc2)c3ccccc3,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,0,6458
7294,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CC6(COC6)C5)cc4,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CC4(COC4)C3)cc2)C1,0,2036
2455,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4C[C@@H]5C[C@@]5(C4)c6ccc(Br)cc6)n3C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cccc5ncccc45)[nH]2)C3)cc1,1,6802
2926,C[C@@H](N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccc(C)s4,c1ccc(OC2CC3CCC(C2)N3Cc2cccs2)cc1,1,2225
6129,CN(C)c1ccc(\C=C\c2c(F)cccc2F)nc1,C(=Cc1ccccn1)c1ccccc1,0,6728
576,CCN(CC)CCOc1ccc(cc1)\C(=C(/Cl)\c2ccccc2)\c3ccccc3,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,1,5260
4360,Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)c5sc(C)nc5C)c6cc(O)ncn6,O=C1N(c2ccc(-c3cncs3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1ccncn1,1,3095
3130,COc1cc(\C=C\c2nc(N)c3c(oc4ccccc34)n2)ccc1n5cnc(C)c5,C(=Cc1ncc2c(n1)oc1ccccc12)c1ccc(-n2ccnc2)cc1,1,196
2608,COc1ccc(Cn2c(nc3ccccc23)N4CC[C@H](C4)N(C)C)cc1,c1ccc(Cn2c(N3CCCC3)nc3ccccc32)cc1,1,4063
3602,OC(=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccccc54)CC3)nc2N1,0,6619
5520,CC(=O)Nc1cc(Nc2cc(NC3COC3)n4ncc(C#N)c4n2)ccc1C5CC5,c1cc2nc(Nc3ccc(C4CC4)cc3)cc(NC3COC3)n2n1,0,4841
1079,CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4,O=C(CCCN1CCC(OC(c2ccccc2)c2ccccc2)CC1)c1ccccc1,1,4220
1681,CCN(CCc1ccc(Cl)c(Cl)c1)C[C@H](O)COc2ccc(NS(=O)(=O)C)cc2,c1ccc(CCNCCCOc2ccccc2)cc1,1,3194
6463,Cc1nc2c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)ccnc2cc1C#N,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,774
1426,CNCc1ccc(Cl)cc1Oc2ccc(Cl)cc2,c1ccc(Oc2ccccc2)cc1,1,7720
8028,CN(c1cccnc1)c2ncccc2CC(c3cccnc3)c4cccnc4,c1cncc(Nc2ncccc2CC(c2cccnc2)c2cccnc2)c1,0,736
2812,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,O=C1C=C2CCC3C(CCC4C3CC3OCOC34)C2CC1,0,1856
5228,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CS(=O)(=O)N)c4ccc(Cl)cc4,O=C(NCc1ccccc1)C1CCN(c2ncnc3[nH]ccc23)CC1,0,2553
5186,Cc1ccc(CCOCc2cccc(COCCc3ccc(C)cc3)[n+]2C)cc1,c1ccc(CCOCc2cccc(COCCc3ccccc3)[nH+]2)cc1,1,2789
4492,CCOCC1(COCC)N[C@H](Cc2c1[nH]c3ccccc23)c4nc(c[nH]4)c5ccccc5,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)CN3)n2)cc1,1,6384
143,C\C(=C\C(=O)O)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,C1=CCCCC1,0,1235
1008,COc1ccccc1Oc2ccccc2CN3CCC4(CC3)CCN(CC4)C(=O)c5ccccn5,O=C(c1ccccn1)N1CCC2(CCN(Cc3ccccc3Oc3ccccc3)CC2)CC1,1,6647
4682,COc1cc(Cl)c(cc1OC)c2nc(SCC(=O)N(C)C)nc3[nH]cc(C#N)c23,c1ccc(-c2ncnc3[nH]ccc23)cc1,0,4919
1257,COc1ccccc1Oc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccc(Cl)cc5)c2,O=C(c1ccccc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,1,5999
2238,C(COc1ccc(cc1)[C@H]2Oc3ccccc3S[C@H]2c4ccccc4)CN5CCCC5,c1ccc(C2Sc3ccccc3OC2c2ccc(OCCCN3CCCC3)cc2)cc1,1,388
4894,CC(=O)Nc1ccc(CCN2CCC(COc3nc4ccccc4c5cn(C)cc35)CC2)cc1,c1ccc(CCN2CCC(COc3nc4ccccc4c4c[nH]cc34)CC2)cc1,1,8042
489,CS(=O)(=O)Nc1ccc2OC3(CCN(CC3)C4CCc5cc(ccc5C4)C#N)CC(O)c2c1,c1ccc2c(c1)CCC(N1CCC3(CCc4ccccc4O3)CC1)C2,1,6650
4909,CC1=NC(C)(N=C1N)c2cccc(c2)c3cccnc3,C1=NC(c2cccc(-c3cccnc3)c2)N=C1,0,2762
5357,CCOC(=O)N1CCC(CN2CC[C@@H](C2)N3C(=O)Cc4ccccc34)CC1,O=C1Cc2ccccc2N1C1CCN(CC2CCNCC2)C1,1,711
1002,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6NC(=O)COc6cc5CC4)n3C,O=C1COc2cc3c(cc2N1)CCN(CCCSc1nnc(-c2cccc4ncccc24)[nH]1)CC3,1,3516
4111,Nc1cc(c(cn1)c2cc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F,c1cncc(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)c1,0,1438
1962,CN(CC1CCOCC1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5,c1ccc(Cn2c(N3CCC(NCC4CCOCC4)CC3)nc3ccccc32)cc1,1,600
7770,O=S(=O)(NCCN1CC2CN(CCOc3ccc(cc3)C#N)CC(C1)O2)c4ccc5OCCc5c4,O=S(=O)(NCCN1CC2CN(CCOc3ccccc3)CC(C1)O2)c1ccc2c(c1)CCO2,0,4430
5406,CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCCN4CC(C4)C#N)c5ccc(OC(F)F)cc35,c1ccc2c(c1)c(-c1cnc3[nH]ccc3n1)nn2CCCN1CCC1,1,7336
712,CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(=CC[C@H]3N)CN)[C@@H]2O)OC[C@]1(C)O,C1=COC(OC2CCCC(OC3CCCCO3)C2)CC1,0,5429
5131,CC(C)c1ncc(s1)[C@@]2(O)CC[C@H](CC2)N3CC(C3)NC(=O)CNc4ncnc5ccc(cc45)C(F)(F)F,O=C(CNc1ncnc2ccccc12)NC1CN(C2CCC(c3cncs3)CC2)C1,0,7858
4920,CC1=N[C@](Cc2ccccc2)(N=C1N)c3cccc(c3)c4cncnc4,C1=NC(Cc2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1,0,960
1596,CSc1ccc(cc1)c2cccc(c2)N3C=C(C(=O)NC(C)C)C(=O)c4cccnc34,O=c1ccn(-c2cccc(-c3ccccc3)c2)c2ncccc12,1,6739
2973,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C4CCCc5ccccc45)c1,c1ccc(OC2CC3CCC(C2)N3C2CCCc3ccccc32)cc1,1,2272
7634,CN(CCN1CC2CN(CCc3ccccc3F)CC(C1)O2)S(=O)(=O)c4ccc(cc4)C#N,O=S(=O)(NCCN1CC2CN(CCc3ccccc3)CC(C1)O2)c1ccccc1,0,4589
3254,COc1ccc(cc1)[C@H]2CN(CCc3ccc(OC)c(OC)c3)C[C@@H]2CCc4cc5ccc(Cl)cc5[nH]4,c1ccc(CCN2CC(CCc3cc4ccccc4[nH]3)C(c3ccccc3)C2)cc1,1,7697
8021,COc1ccc(CN(CC(=O)N2CCC(N)CC2)c3ccc(cc3)C#N)cc1F,O=C(CN(Cc1ccccc1)c1ccccc1)N1CCCCC1,0,6131
4015,CC[C@@]1([C@@H]2CN(CC3Cc4ccccc4C3)C[C@H]12)c5cccc(NS(=O)(=O)C)c5,c1ccc(C2C3CN(CC4Cc5ccccc5C4)CC32)cc1,1,1178
426,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,O=C1NC(=O)C(Cc2ccc(OCC3CCCCC3)cc2)S1,0,865
5059,O[C@H](CNC(=O)N1C(=O)Nc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,O=C(NCCCN1CCC(Oc2ccccc2)CC1)n1c(=O)[nH]c2ccccc21,1,3247
252,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,c1ccccc1,0,1708
4296,COc1c(cc(cc1C(C)(C)C)C(=O)NCC2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C2)C(C)(C)C,O=C(NCC1CCN(CCCCCC(c2ccccc2)c2ccccc2)C1)c1ccccc1,1,1896
2136,CCN(CC)C(=O)c1ccc(nc1)C2=CC3(CCNCC3)Oc4ccccc24,C1=C(c2ccccn2)c2ccccc2OC12CCNCC2,0,7712
4790,Fc1cc(cc(c1)c2onc(n2)c3ccccn3)C#N,c1ccc(-c2nc(-c3ccccn3)no2)cc1,0,7784
4137,CC(=O)c1ccc(NC(=O)NS(=O)(=O)c2ccc(OCCCN3CCCCC3)cc2)cc1,O=C(Nc1ccccc1)NS(=O)(=O)c1ccc(OCCCN2CCCCC2)cc1,0,618
6472,COc1cnc2c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)ccnc2c1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,2571
7499,FC(F)(F)c1nc(cs1)c2nnc3CN(CCn23)C(=O)c4ccc(cc4)c5cccs5,O=C(c1ccc(-c2cccs2)cc1)N1CCn2c(nnc2-c2cscn2)C1,0,7673
5704,O[C@H](COc1cc(O)c(Cl)cc1NC(=O)NC2CC2)CN3CCC4(CC3)Cc5cc(Cl)ccc5O4,O=C(Nc1ccccc1OCCCN1CCC2(CC1)Cc1ccccc1O2)NC1CC1,1,6440
2869,NC(=O)c1cccc(C[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,c1ccc(CC2CC3CCC(C2)N3Cc2ccccc2)cc1,1,3365
5262,Nc1nc2cc3CCN(CCO)CCc3cc2s1,c1nc2cc3c(cc2s1)CCNCC3,0,3611
4320,CC1CN(CC(=O)N[C@@H]2C3CC4CC2C[C@@](C4)(C3)C(=O)N)S(=O)(=O)N(C1)c5c(Cl)cc(Cl)cc5Cl,O=C(CN1CCCN(c2ccccc2)S1(=O)=O)NC1C2CC3CC(C2)CC1C3,0,5680
6605,COc1ccc2[C@H](C(C)C)N(CCc2c1)C(=O)CNCC3(O)CCCCC3,O=C(CNCC1CCCCC1)N1CCc2ccccc2C1,0,5925
5471,CC1CCCN1C2CCN(C2)c3ccc(NC(=O)c4cc(F)ccc4C)c(C)c3,O=C(Nc1ccc(N2CCC(N3CCCC3)C2)cc1)c1ccccc1,1,6335
7132,Cc1ncoc1c2nnc(SCCCN3CC4CCN(C4C3)c5ccc(cc5)C(F)(F)F)n2C,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnco5)[nH]4)CC32)cc1,1,4348
2080,CN1CC[C@@H](C1)N(Cc2ccccc2C(F)(F)F)c3ccc(C#N)c(Cl)c3,c1ccc(CN(c2ccccc2)C2CCNC2)cc1,1,6162
4413,Fc1ccc(cc1)N(CCNCCc2ccccc2)c3ccc(F)cc3,c1ccc(CCNCCN(c2ccccc2)c2ccccc2)cc1,1,363
6745,F[C@H]1CN(CCN2C(=O)C=Cc3ncc(Oc4ccon4)cc23)CC[C@H]1NCc5ccc6OCC(=O)Nc6n5,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncc(Oc6ccon6)cc54)CC3)nc2N1,0,5996
2959,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccc5OCOc5c4)c1,c1ccc(OC2CC3CCC(C2)N3Cc2ccc3c(c2)OCO3)cc1,1,1401
3224,Cc1c(ncn1Cc2cccc(c2)C(F)(F)F)C(=O)Nc3ccn(C)n3,O=C(Nc1cc[nH]n1)c1cn(Cc2ccccc2)cn1,0,704
2656,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccc(cc4)C(F)(F)F)c2)cc1,O=C(NCc1cccc(OCc2coc(-c3ccccc3)n2)c1)Oc1ccccc1,0,3517
7888,CN1CCc2c(C1)sc3N(Cc4ccc(Cl)cc4)C(=O)n5ncnc5c23,O=c1n(Cc2ccccc2)c2sc3c(c2c2ncnn12)CCNC3,1,6256
601,Clc1ccc(cc1)c2nc(COc3ccccc3CN4CCCCCCC4)cs2,c1ccc(-c2nc(COc3ccccc3CN3CCCCCCC3)cs2)cc1,1,2181
4995,CNc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1Cl,c1ccc(Nc2cnccn2)nc1,1,6800
266,CC(=O)Oc1ccc(cc1)C(c2ccc(OC(=O)C)cc2)c3ccccn3,c1ccc(C(c2ccccc2)c2ccccn2)cc1,0,4141
