,Canonical_smiles,Murcko,ClassD,No
3339,COc1cc(F)ccc1c2cncc(CNC(=O)C3CC3)c2,O=C(NCc1cncc(-c2ccccc2)c1)C1CC1,0,3370
2098,N[C@H]1Cn2c(C[C@@H]1c3cc(F)c(F)cc3F)nc4cnc(F)cc24.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F,c1ccc(C2CCn3c(nc4cnccc43)C2)cc1,0,6930
1509,CC1=Nc2c(cccc2C(F)(F)F)C(=O)N1c3ccc(OCCCN4CCCC4)cc3,O=c1c2ccccc2ncn1-c1ccc(OCCCN2CCCC2)cc1,1,7490
3282,CC(C)C1(OC(=O)NC1=O)C2=CC=C(NC2=O)c3ccc4ccccc4c3,O=C1NC(=O)C(c2ccc(-c3ccc4ccccc4c3)[nH]c2=O)O1,0,2525
3597,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(cc45)n6cnnn6)CC3)nc2N1,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(-n6cnnn6)cc54)CC3)nc2N1,0,5695
93,N[C@@H]1[C@H]2CN(C[C@@H]12)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)c5ccc(F)cc5F,O=c1ccn(-c2ccccc2)c2nc(N3CC4CC4C3)ccc12,0,4330
995,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)c7cc(C)nn7C)n3C,c1cc(-c2nnc(SCCCN3CCc4cc5nc(-c6ccn[nH]6)oc5cc4CC3)[nH]2)c2cccnc2c1,1,5074
4081,COc1cc(ccc1n2cnc(C)c2)c3cn(CC(=O)N([C@H](C)c4ccccc4)[C@H](C)c5ccccc5)nn3,O=C(Cn1cc(-c2ccc(-n3ccnc3)cc2)nn1)N(Cc1ccccc1)Cc1ccccc1,1,3911
5948,OC1CN(C[C@H](Oc2ncnc3c2cnn3c4ncccc4Cl)C(=O)Nc5ccc(F)cn5)C1,O=C(Nc1ccccn1)C(CN1CCC1)Oc1ncnc2c1cnn2-c1ccccn1,0,215
6743,O=C1COc2ccc(CNC3CCN(CCN4C(=O)C=Cc5ncc(OCc6cccnn6)cc45)CC3)nc2N1,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncc(OCc6cccnn6)cc54)CC3)nc2N1,0,2981
7295,Cc1c(NS(=O)(=O)C)ccc2C(N(Cc3ccccc3c4ccccc4)C(=O)c12)C(=O)NC(C)(C)C,O=C1c2ccccc2CN1Cc1ccccc1-c1ccccc1,0,8213
5775,Nc1ncc(nc1c2ccc(nc2)C(F)(F)F)c3ccncc3,c1cncc(-c2cncc(-c3ccncc3)n2)c1,0,4281
2316,CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc3ccc(CCC(=O)O)cc3,c1ccc(OCCCNCCc2ccc3ccccc3c2)cc1,1,8155
2198,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)NC4CCC4,O=S(=O)(NC1CCC1)c1ccc(-c2ccc(CCN3CCCC3)cc2)cc1,1,4004
4812,F[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@@H]1NCc4cc5OCCOc5cn4,O=c1ccc2ccccc2n1CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,0,7925
5154,OCC[C@@]1(CCCNC1)c2ccc(Cl)c(Cl)c2,c1ccc(C2CCCNC2)cc1,0,7776
5155,OCC[C@]1(CCCNC1)c2ccc(Cl)c(Cl)c2,c1ccc(C2CCCNC2)cc1,0,2836
643,FC(F)Oc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,1,7750
6631,COc1cccc2c1nc(N)n3nc(CN4CCN(C[C@H]4C)c5cnn(c5)C(C)(C)C)nc23,c1ccc2c(c1)ncn1nc(CN3CCN(c4cn[nH]c4)CC3)nc21,0,3017
4256,CS(=O)(=O)Cc1cc(nc(n1)c2ccc3[nH]ccc3c2)N4CC5CCC(C4)O5,c1cc(N2CC3CCC(C2)O3)nc(-c2ccc3[nH]ccc3c2)n1,0,15
196,CCCCNc1ccc(cc1)C(=O)OCCN(C)C,c1ccccc1,0,3204
6093,F[C@@H]1CN(CCN2C(=O)C=Cc3ncc(F)cc23)CC[C@@H]1NCc4ccc5OCC(=O)Nc5n4,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncccc54)CC3)nc2N1,0,2359
6719,Fc1cnc2ccc(OC3CCC3)nc2c1CCC45CCC(CC4)(CO5)NCc6ccc7OCC(=O)Nc7n6,O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(OC7CCC7)nc56)(CC3)OC4)nc2N1,1,2053
7206,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(F)cc4)nnc1C5CCOCC5,c1ccc(N2CCC3CN(CCCSc4nnc(C5CCOCC5)[nH]4)CC32)cc1,1,4194
4200,O=C(Nc1ccccc1)NS(=O)(=O)c2ccc(OCCN3CCCC3)cc2,O=C(Nc1ccccc1)NS(=O)(=O)c1ccc(OCCN2CCCC2)cc1,0,7499
2237,CCNc1cc(cc(CCc2oc(CC)c(C)n2)n1)N3CCOCC3,c1cc(N2CCOCC2)cc(CCc2ncco2)n1,1,4172
7836,CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c4c(c[nH]c4n2)c5ccc6nc(C)oc6c5)c(OC)c1,c1ccc(Nc2nc(OC3CCCC3)c3c(-c4ccc5ncoc5c4)c[nH]c3n2)cc1,0,6834
297,CCN(CC)CCNC(=O)c1ccc(NC(=O)C)cc1,c1ccccc1,0,4819
4552,C[C@@H]1CC2=C(CCC(=O)C2)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@H]13,O=C1CCC2=C(CCC3C2CCC2CCCC23)C1,0,5642
6203,CC(C)C(=O)NCc1cnc(C(F)F)c(c1)C(=O)Nc2nc(C)c([nH]2)c3ccc(cc3)C(F)(F)F,O=C(Nc1ncc(-c2ccccc2)[nH]1)c1cccnc1,1,8263
454,FC1=CN(C2CCCO2)C(=O)NC1=O,O=c1ccn(C2CCCO2)c(=O)[nH]1,0,1727
2254,COc1ccc2OC(C(C)S(=O)(=O)c2c1)c3ccc(OCCCN4CCCC4)cc3,O=S1(=O)CC(c2ccc(OCCCN3CCCC3)cc2)Oc2ccccc21,1,5166
373,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@@H]3CC[C@@H](C)CC3)C1=O,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)N2CC=CC2=O)cc1,0,7436
3816,OC(=O)CCC(=O)N1CCc2cc(ccc12)c3noc(n3)c4cc(OC(F)(F)F)cc(c4)C#N,c1ccc(-c2nc(-c3ccc4c(c3)CCN4)no2)cc1,0,1525
89,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,0,5098
7818,Fc1ccc(nc1)c2oc3CCN(Cc3n2)C(=O)c4ccccc4,O=C(c1ccccc1)N1CCc2oc(-c3ccccn3)nc2C1,0,728
3796,FC(F)(F)c1ccccc1C(=O)N2CCC(Cc3ccccc3)CC2,O=C(c1ccccc1)N1CCC(Cc2ccccc2)CC1,0,1014
2671,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccccc4Cl)c2)cc1,O=C(NCc1cccc(OCc2coc(-c3ccccc3)n2)c1)Oc1ccccc1,0,4108
6025,CN1Cc2ccc(cc2C1=O)c3ccc(C[C@H](NC(=O)C4(N)CCOCC4)C#N)cc3,O=C1NCc2ccc(-c3ccc(CCNC(=O)C4CCOCC4)cc3)cc21,0,210
141,CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1,O=C1Cc2ccccc2C(=C2CCNCC2)c2ccsc21,0,5776
6826,CS(=O)(=O)c1ccc(cc1)c2cnn3ccc(nc23)c4cccc(c4)S(=O)(=O)C5CC5,O=S(=O)(c1cccc(-c2ccn3ncc(-c4ccccc4)c3n2)c1)C1CC1,1,1792
319,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,O=S(=O)(Nc1nncs1)c1ccccc1,0,3590
5,COCCc1ccc(OCC(O)CNC(C)C)cc1,c1ccccc1,0,7094
2906,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,c1ccc2c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)ccnc2c1,1,7352
7127,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(cc4)C(F)(F)F)nnc1c5ccncc5,c1ccc(N2CCC3CN(CCCSc4nnc(-c5ccncc5)[nH]4)CC32)cc1,1,7140
1097,[Br-].CCCCCCCCCCCCCCCC[n+]1ccccc1,c1cc[nH+]cc1,0,890
2481,Cn1c(SCCCN2C[C@@H]3C[C@@]3(C2)c4ccc(cc4)C(F)(F)F)nnc1c5ccccc5,c1ccc(-c2nnc(SCCCN3CC4CC4(c4ccccc4)C3)[nH]2)cc1,1,4138
2444,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(cc5)C(C)(C)C)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,2269
3971,COc1ccc(cn1)[C@@]2(O)CC[C@H](CC2)N3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F.CS(=O)(=O)O,O=C(CNC(=O)c1ccccc1)NC1CCN(C2CCC(c3cccnc3)CC2)C1,0,4532
3340,Cc1c2CCCN3CCCC[C@@H]3CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15,O=C1CCCc2c1cc1n2-c2cccc(c2)NCC2CCCCN2CCC1,1,8290
8056,NC(=O)c1cnc(N[C@H]2CCCNC2)c3sc(cc13)c4cccc(F)c4,c1ccc(-c2cc3ccnc(NC4CCCNC4)c3s2)cc1,0,5368
3801,O.O.O.O.O.O.[Cl-].[Cl-].[Sr+2],,0,7711
1214,CCc1oc2c(C)c3CCN(CCCSc4nnc(c5cccc6nc(C)ccc56)n4C)CCc3cc2n1,c1cc(-c2nnc(SCCCN3CCc4cc5ncoc5cc4CC3)[nH]2)c2cccnc2c1,1,3279
3372,Cc1nc2ccccc2n1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C6(CCC6)C(=O)O)c7cccc(F)c7,O=C(C1CCC1)N1CCC(CCN2C3CCC2CC(n2cnc4ccccc42)C3)(c2ccccc2)CC1,0,1349
2468,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(Cl)c(Cl)c5)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,3877
409,Cl.Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc2N1,1,699
5541,OC(=O)CC1CCC(CC1)c2ccc(cc2)c3nc4cc(NC(=O)c5nc(oc5C(F)(F)F)c6ccccc6)ccc4[nH]3,O=C(Nc1ccc2[nH]c(-c3ccc(C4CCCCC4)cc3)nc2c1)c1coc(-c2ccccc2)n1,0,2028
2055,FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)NC(Cn4ccnc4)c5ccccc5)c2,O=C(NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)NC(Cn1ccnc1)c1ccccc1,0,5072
4249,CN(CCCC(=O)NCC#N)C(=O)c1ccc2c(c1)c3C[C@@H](CCc3n2C)C4CCOCC4,c1ccc2c3c([nH]c2c1)CCC(C1CCOCC1)C3,0,1686
2357,Fc1cc(ccn1)c2cnc3nc(sc3c2)N4CCC(CC4)N5CCCCC5,c1cc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)ccn1,1,7988
219,CC(C)[C@@H]1CC[C@H](CC1)C(=O)N[C@H](Cc2ccccc2)C(=O)O,O=C(NCCc1ccccc1)C1CCCCC1,0,1711
6897,CC1CC(Cc2nc3cc(C)c(C)cc3n2Cc4ccc(Cl)cc4)CCN1,c1ccc(Cn2c(CC3CCNCC3)nc3ccccc32)cc1,1,2702
731,CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCCOc6ccccc6)c2)CC1,C(#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCNCC4)ccc2-3)cs1)CCOc1ccccc1,1,7600
5774,CNS(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)c3ccc(nc3)C(F)(F)F,c1ccc(-c2cncc(-c3cccnc3)n2)cc1,0,2317
795,OC=O.O=C(N1CCN(C(=O)C1)c2ccc(OC3CCN(CC3)C4CCCC4)cc2)c5ccc(cc5)C#N,O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCCC4)CC3)cc2)C(=O)C1,0,3255
4963,Cc1ccc(cn1)[C@@]2(O)CC[C@H](CC2)N3CC(C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F,O=C(CNC(=O)c1ccccc1)NC1CN(C2CCC(c3cccnc3)CC2)C1,0,6953
179,CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O,O=c1c2ccccc2c(Cc2ccccc2)nn1C1CCCNCC1,1,5361
3140,FC(F)(F)c1ccc(COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3)cc1,O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,3291
208,C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(=O)C)C(=O)C)[C@@]4(C)CCC(=O)C=C14,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0,7639
3670,Cn1nc(NCC(=O)NC2CN(C2)[C@@H]3CC[C@@H](CC3)C(=O)N)c4cc(ccc14)C(F)(F)F,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCCCC2)C1,0,1334
3255,COc1ccc(cc1)[C@H]2CN(CCCC3CCOCC3)C[C@@H]2CC(=O)Nc4cccc(Cl)c4,O=C(CC1CN(CCCC2CCOCC2)CC1c1ccccc1)Nc1ccccc1,1,6063
6464,COc1cc2nccc(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2nc1C#N,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,339
7697,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5cnccn5,c1ccc(C2CC23CCN(CCCSc2nnc(-c4cnccn4)[nH]2)C3)cc1,1,2881
3851,COc1ccc2ncc(F)c([C@H](O)CN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1,c1cnc2c(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)ccnc2c1,0,4333
3226,CC(N(C)C)C1(CCCCC1)c2ccc(Cl)c(Cl)c2,c1ccc(C2CCCCC2)cc1,0,7063
2572,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(O)ccnc4C(F)(F)F,c1cncc(-c2ccc3cc(CCN4CCCC4)ccc3n2)c1,0,1688
5659,Brc1ccc(cc1)[C@@H]2C[C@@H](CC[C@H]2C(=O)NC(c3ccccc3)c4ccccc4)N5CCOCC5,O=C(NC(c1ccccc1)c1ccccc1)C1CCC(N2CCOCC2)CC1c1ccccc1,1,8234
3664,FC(F)(F)c1ccc2[nH]nc(NCC(=O)NC3CN(C3)[C@@H]4CC[C@@H](CC4)N5C=CC=CC5=O)c2c1,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCC(n3ccccc3=O)CC2)C1,0,4352
7198,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(cc4)C(F)(F)F)nnc1c5cccnc5,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cccnc5)[nH]4)CC32)cc1,1,1101
2977,CC(C)(N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccccc4,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,6535
4252,CS(=O)(=O)Cc1cc(nc(n1)c2ccc3[nH]ccc3c2)N4CCOCC4,c1cc(N2CCOCC2)nc(-c2ccc3[nH]ccc3c2)n1,0,5748
1126,CC(C)N1CCN(CC1)C(=O)N2CCC(CC2)c3ccccc3,O=C(N1CCNCC1)N1CCC(c2ccccc2)CC1,0,6572
4285,COc1c(cc(CN2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)cc1C(C)(C)C)C(C)(C)C,c1ccc(CN2CCN(CCCCCC(c3ccccc3)c3ccccc3)CC2)cc1,1,1212
1869,Clc1cc(Cl)cc(c1)C(=O)NCC2CCN(Cc3ccc(Br)nc3)CC2,O=C(NCC1CCN(Cc2cccnc2)CC1)c1ccccc1,1,1166
464,Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,c1ccc2c(c1)Oc1ccccc1O2,0,358
3241,COc1ccc(cc1)[C@H]2CN(CCc3ccc(OC)c(OC)c3)C[C@@H]2CNC(=O)c4cccc(Cl)c4,O=C(NCC1CN(CCc2ccccc2)CC1c1ccccc1)c1ccccc1,1,30
2067,COc1ccc(CN[C@@H]2CC[C@@H](C(=O)N3CCC(CC3)(C(=O)N4CCCC4)c5ccccc5)C(C)(C)C2)cc1,O=C(C1CCC(NCc2ccccc2)CC1)N1CCC(C(=O)N2CCCC2)(c2ccccc2)CC1,1,2080
1122,COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,O=C(OC1CC2CCC(C1)N2)c1ccccc1,1,2326
5095,COC1COCCC1N[C@@H]2C[C@H]3C[C@@H](Cl)C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F,O=C(N1CCc2ncccc2C1)C12CCCC1CC(NC1CCOCC1)C2,0,2847
5722,COc1ncnc(Cn2cc(C(=O)NCCF)c3ncc(C)cc23)c1C,c1cnc2ccn(Cc3ccncn3)c2c1,0,297
267,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,c1cnccn1,0,911
4657,C1CCN(CC1)[C@H]([C@@H](N2CCCCC2)c3ccccc3)c4ccccc4,c1ccc(C(C(c2ccccc2)N2CCCCC2)N2CCCCC2)cc1,0,3263
6733,NS(=O)(=O)c1ccc(Oc2cnc3C=CC(=O)N(CCN4CCC(CC4)c5nc6cc(Cl)ccc6[nH]5)c3c2)cc1,O=c1ccc2ncc(Oc3ccccc3)cc2n1CCN1CCC(c2nc3ccccc3[nH]2)CC1,0,3342
450,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45,O=C(NCC1CNC2Cc3c[nH]c4cccc(c34)C2C1)OCc1ccccc1,0,7306
2728,C[C@H](O)C(=O)NC1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,c1ccc(-c2cc3c(nc2-c2ccccc2)OCCC3)cc1,1,2069
1639,CC(C)(C)CCN1CCC(CNC(=O)Nc2cccc(Cl)c2)(CC1)c3ccccc3,O=C(NCC1(c2ccccc2)CCNCC1)Nc1ccccc1,1,5837
4605,CCOc1cc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)ccc1C#N,O=C1OCc2cc(CCN3CCN(CCc4ccccc4)CC3)ccc21,1,6661
4292,CC(C)(C)c1ccc(cc1)C(=O)NCC2CCN(C2)C(=O)CCCCC(c3ccc(F)cc3)c4ccc(F)cc4,O=C(NCC1CCN(C(=O)CCCCC(c2ccccc2)c2ccccc2)C1)c1ccccc1,1,6620
3083,c1ccc2c(c1)c3cccc4ccc5cccc2c5c34,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,0,7221
5261,Cn1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)n1,c1cc(CN2CCc3cc4ncsc4cc3CC2)n[nH]1,0,1030
2039,Cc1cnn(c1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5,c1ccc(Cn2c(N3CCC(n4cccn4)CC3)nc3ccccc32)cc1,1,2439
1995,Cc1oc2ccc(cc2c1)\N=C(\NC#N)/N[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O,O=C(CN1CCCCC(NC=Nc2ccc3occc3c2)C1=O)N1CCCC1,0,7026
5148,O[C@@]1(CC[C@H](CC1)N2CC(C2)NC(=O)CNc3nccc4ncc(cc34)C(F)(F)F)c5cncs5,O=C(CNc1nccc2ncccc12)NC1CN(C2CCC(c3cncs3)CC2)C1,0,7208
1234,CNC(=O)[C@@H](C)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)nc1,0,8086
4202,Clc1ccc(Cl)c(NC(=O)NS(=O)(=O)c2ccc(OCCN3CCCC3)cc2)c1,O=C(Nc1ccccc1)NS(=O)(=O)c1ccc(OCCN2CCCC2)cc1,0,7933
7608,Fc1cccc(F)c1OCCN2CC3CN(CCNS(=O)(=O)c4ccc(cc4)C#N)CC(C2)O3,O=S(=O)(NCCN1CC2CN(CCOc3ccccc3)CC(C1)O2)c1ccccc1,0,2372
2214,Cn1cnc(c1)C(=O)N(Cc2cccc(Cl)c2)[C@@H]3CC[C@H](N)CC3,O=C(c1c[nH]cn1)N(Cc1ccccc1)C1CCCCC1,0,4972
2716,Brc1ccc(cc1)N(C2CCN(CC2)C3CCCC3)C(=O)NCc4ccccc4,O=C(NCc1ccccc1)N(c1ccccc1)C1CCN(C2CCCC2)CC1,1,5720
3729,COc1ccc(Nc2nc(N[C@@H]3CCOC[C@@H]3N)ncc2C(=O)N)cc1,c1ccc(Nc2ccnc(NC3CCOCC3)n2)cc1,0,7240
7941,Nc1nc(NCc2cc(on2)C3CC3)c4c(ccn4Cc5ccccn5)n1,c1ccc(Cn2ccc3ncnc(NCc4cc(C5CC5)on4)c32)nc1,1,3058
4240,CNC(=O)CCCN(C)C(=O)c1ccc2c(c1)c3CC(CCc3n2C)C4CCOCC4,c1ccc2c3c([nH]c2c1)CCC(C1CCOCC1)C3,0,6992
1855,CCC(C)C(C)CN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,O=C(NCC1CCNCC1)c1ccccc1,1,7398
5178,C[n+]1c(CCc2ccccc2)cccc1CCc3ccccc3,c1ccc(CCc2cccc(CCc3ccccc3)[nH+]2)cc1,1,3353
993,Cn1c(SCCCN2CCc3ccc4oc(nc4c3CC2)C(F)(F)F)nnc1c5ccccc5,c1ccc(-c2nnc(SCCCN3CCc4ccc5ocnc5c4CC3)[nH]2)cc1,1,8082
453,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,O=C1CCCC1Cc1ccccc1,0,7129
1735,O=C1[C@H]2CCN1c3cccc4ccc(Oc5cc(Cn6cncc6CCN2)ccc5C#N)cc34,O=C1C2CCN1c1cccc3ccc(cc13)Oc1cccc(c1)Cn1cncc1CCN2,1,6471
5393,Fc1cccc(CN2CCN(CC2)c3ccc4nnc(n4n3)C(F)(F)F)c1F,c1ccc(CN2CCN(c3ccc4nncn4n3)CC2)cc1,0,5833
5256,Nc1nc2cc3CCN(Cc4ocnc4)CCc3cc2s1,c1ncc(CN2CCc3cc4ncsc4cc3CC2)o1,0,3452
3523,CN=[S+](C)([O-])c1ccc(cc1)C2=C(C(=O)OC2)c3ccccc3,O=C1OCC(c2ccccc2)=C1c1ccccc1,0,5682
8287,C[C@]1(N)CC[C@@H](Nc2c(cnn3cc(cc23)c4ccnc(F)c4)C(=O)N)C1(C)C,c1cc(-c2cc3c(NC4CCCC4)ccnn3c2)ccn1,0,5611
1600,CN1CCN(CC1)c2cccc(n2)c3cc(NC(=O)C)nc(n3)n4nc(C)cc4C,c1cc(-c2ccnc(-n3cccn3)n2)nc(N2CCNCC2)c1,1,3409
2343,CCc1n[nH]c(CC)c1Oc2cc(C)cc(c2)C#N,c1ccc(Oc2cn[nH]c2)cc1,0,6545
7771,Cc1ncoc1c2nnc(SCCCN3CC[C@@]4(C[C@@H]4c5ccccc5C(F)(F)F)C3)n2C,c1ccc(C2CC23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,6120
2744,CN1CCC[C@H](C1)c2nc3ccccc3n2Cc4ccc(F)cc4,c1ccc(Cn2c(C3CCCNC3)nc3ccccc32)cc1,1,4412
1006,CCc1oc2cc3CCN(CCCSc4nnc(c5ccc(cc5)C(F)(F)F)n4C)CCc3cc2n1,c1ccc(-c2nnc(SCCCN3CCc4cc5ncoc5cc4CC3)[nH]2)cc1,1,7901
5084,CO[C@@H]1C[C@@H]2C[C@H](C[C@@]2(C1)C(=O)N3CCc4ncc(cc4C3)C(F)(F)F)NC5CCOCC5OC,O=C(N1CCc2ncccc2C1)C12CCCC1CC(NC1CCOCC1)C2,0,5069
2974,Cc1ncoc1c2nnc(SCCCN3CCC4(CCc5ccc(Br)cc45)C3)n2C,c1ccc2c(c1)CCC21CCN(CCCSc2nnc(-c3cnco3)[nH]2)C1,1,261
262,OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO,c1nc(N2CCCCC2)c2ncnc(N3CCCCC3)c2n1,0,2194
6511,O[C@@]1(CC23CCC(CC2)(CO3)NC\C=C\c4ccc(F)cc4)CN5C(=O)C=Cc6ncc(F)c1c56,O=c1ccc2nccc3c2n1CC3CC12CCC(NCC=Cc3ccccc3)(CC1)CO2,1,1458
5731,COC1COCCC1N[C@@H]2C[C@H]3CN(C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F)\C(=N/C#N)\N,O=C(N1CCc2ncccc2C1)C12CNCC1CC(NC1CCOCC1)C2,0,5630
6349,Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1c3ccc(OC(F)(F)F)cc3,C(#Cc1cn(-c2ccccc2)cn1)c1ccncc1,1,8169
4117,FC(F)(F)c1ccc(NC(=O)NS(=O)(=O)c2ccc(OCCCN3CCCCC3)cc2)cc1,O=C(Nc1ccccc1)NS(=O)(=O)c1ccc(OCCCN2CCCCC2)cc1,0,1604
2342,CN(C(=O)c1c(C)onc1c2ccccc2Cl)c3ccc(C)c(Cl)c3,O=C(Nc1ccccc1)c1conc1-c1ccccc1,0,7565
3378,Cc1nc2ccccc2n1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)c6cccc(c6)C(=O)NO)c7ccccc7,O=C(c1ccccc1)N1CCC(CCN2C3CCC2CC(n2cnc4ccccc42)C3)(c2ccccc2)CC1,0,381
4497,[O-][S+]1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(C4CC[SH+]CC4)N3)n2)cc1,1,4058
7803,Fc1ccc(CN2CC3CN(CCNS(=O)(=O)c4ccc(cc4)C#N)CC(C2)O3)cc1,O=S(=O)(NCCN1CC2CN(Cc3ccccc3)CC(C1)O2)c1ccccc1,0,1644
690,Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4cc5OCOc5cc4Cl)CC3,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,1,7512
